pKa,Particle size (mm),Acid concentration (M),Cu in feed (%),Temperature (Â°C),Leaching time (min),Pulp density (g/L),Agitation speed (rpm),% Cu Recovery
1.4000000000000001,1.1070000000000002,1.0,17.55666666666667,23.0,1440.0,20.0,126.66666666666667,12.0
-1.4000000000000001,1.2,1.0,20.0,50.0,1440.0,20.0,1440.0,98.6
-1.4000000000000001,1.4999999999999998,1.0,41.766666666666666,90.0,360.0,99.99999999999999,763.3333333333333,97.6
-1.4000000000000001,0.6333333333333335,0.1,47.11000000000001,80.0,4320.0,20.0,124.99999999999997,74.0
-1.4000000000000001,1.2,0.1,37.599999999999994,80.0,4320.0,20.0,969.9999999999999,98.0
1.4000000000000001,0.205,1.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.4000000000000001,0.205,2.0,51.8,40.0,59.99999999999999,99.99999999999999,490.0,100.0
-1.4000000000000001,0.208,4.09,2.85,60.0,119.99999999999999,99.99999999999999,126.66666666666667,24.1
-3.0,0.205,0.1,43.6,25.0,119.99999999999999,99.99999999999999,490.0,46.0
-3.0,0.208,1.09,2.85,60.0,119.99999999999999,99.99999999999999,260.0,0.0
-3.0,0.205,2.0,51.8,50.0,59.99999999999999,99.99999999999999,490.0,100.0
-3.0,0.265,3.0,51.8,40.0,59.99999999999999,99.99999999999999,490.0,100.0
-3.0,0.205,2.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.4000000000000001,0.205,1.0,43.6,40.0,59.99999999999999,99.99999999999999,490.0,98.7
-1.1999999999999997,0.15,0.8,20.36,70.0,119.99999999999999,40.0,249.99999999999997,99.9
-1.1999999999999997,0.12,1.5,19.62,60.0,90.0,49.99999999999999,249.99999999999997,97.5
-1.1999999999999997,0.1,2.0,10.25,50.0,59.99999999999999,30.0,249.99999999999997,93.2
-1.1999999999999997,0.075,3.0,6.75,50.0,59.99999999999999,24.999999999999996,249.99999999999997,91.5
-1.1999999999999997,0.25,2.0,10.25,60.0,119.99999999999999,49.99999999999999,300.0,95.6
-1.1999999999999997,0.2,2.5,12.73,70.0,90.0,59.99999999999999,280.0,97.0
-1.1999999999999997,0.18,1.0,8.32,50.0,119.99999999999999,45.0,270.0,89.4
-1.4000000000000001,2.0,3.0,19.34,75.0,119.99999999999999,75.0,606.6666666666666,91.58
-1.4000000000000001,2.0,3.0,19.34,75.0,239.99999999999997,75.0,1440.0,99.99
-1.4000000000000001,2.0,1.5,19.34,75.0,180.0,99.99999999999999,450.0,95.3
-1.4000000000000001,2.0,2.5,19.34,75.0,150.0,99.99999999999999,450.0,98.2
-1.4000000000000001,2.0,2.0,30.57,30.0,180.0,30.000000000000004,200.0,76.12
-1.4000000000000001,2.0,2.0,30.57,30.0,360.0,99.99999999999999,200.0,90.0
-1.4000000000000001,0.25,5.0,11.2,70.0,119.99999999999999,59.99999999999999,350.0,99.7
-1.4000000000000001,0.25,3.0,11.2,70.0,119.99999999999999,59.99999999999999,350.0,88.5
1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,293.33333333333337,96.02
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,97.04
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.69
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.78
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,97.52
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.78
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.99
-1.4000000000000001,0.5,1.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.8
-1.4000000000000001,0.5,2.0,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.85
-1.4000000000000001,0.5,2.5,25.299999999999997,23.0,300.0,99.99999999999999,360.0,99.9
1.4000000000000001,2.0,2.0,30.57,30.0,180.0,60.00000000000001,200.0,76.12
-3.0,2.0,3.0,19.34,75.0,119.99999999999999,75.0,166.66666666666669,91.58
-3.0,2.0,3.0,19.34,75.0,239.99999999999997,75.0,1440.0,99.99
-3.0,2.0,1.5,19.34,75.0,180.0,99.99999999999999,450.0,95.3
-3.0,2.0,2.5,19.34,75.0,150.0,99.99999999999999,450.0,98.2
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,180.0,99.99999999999999,673.3333333333333,96.02
-1.4000000000000001,1.0,1.5,25.299999999999997,23.0,300.0,99.99999999999999,673.3333333333333,99.8
1.4000000000000001,0.045,0.1,18.34,25.0,59.99999999999999,40.0,249.99999999999997,50.0
-1.4000000000000001,0.045,0.12000000000000001,18.34,25.0,59.99999999999999,40.0,249.99999999999997,77.2
-1.4000000000000001,0.045,0.2,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
-1.4000000000000001,0.045,0.25,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
-1.4000000000000001,0.045,0.4,18.34,25.0,59.99999999999999,40.0,249.99999999999997,95.0
-1.4000000000000001,0.045,0.2,18.34,25.0,119.99999999999999,40.0,249.99999999999997,97.8
-1.4000000000000001,0.045,0.2,18.34,50.0,59.99999999999999,40.0,249.99999999999997,96.5
-1.4000000000000001,0.045,0.2,18.34,75.0,59.99999999999999,40.0,249.99999999999997,97.9
-1.4000000000000001,0.045,0.2,18.34,25.0,180.0,40.0,249.99999999999997,99.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,80.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,85.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,86.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,88.0
-1.4000000000000001,0.5,0.5,96.0,25.0,1440.0,20.0,124.99999999999999,78.0
-1.4000000000000001,0.5,0.5,96.0,25.0,1440.0,20.0,124.99999999999999,79.0
-1.4000000000000001,0.25,2.0,96.0,50.0,1440.0,30.0,200.0,92.5
-1.4000000000000001,0.25,2.5,96.0,50.0,1440.0,30.0,200.0,96.7
-1.4000000000000001,0.25,3.0,96.0,50.0,1440.0,30.0,200.0,98.4
-1.4000000000000001,2.0,1.0,32.5,75.0,239.99999999999997,66.66666666666667,143.33333333333334,100.0
-1.4000000000000001,0.5,1.5,32.5,75.0,239.99999999999997,49.99999999999999,200.0,99.5
-1.4000000000000001,0.5,2.0,32.5,75.0,239.99999999999997,49.99999999999999,200.0,99.9
-1.4000000000000001,0.5,3.0,32.5,75.0,239.99999999999997,49.99999999999999,200.0,100.0
-1.4000000000000001,0.25,2.5,35.7,80.0,300.0,59.99999999999999,249.99999999999997,98.5
-1.4000000000000001,0.25,3.0,35.7,80.0,300.0,59.99999999999999,249.99999999999997,99.3
-1.4000000000000001,0.25,3.5,35.7,80.0,300.0,59.99999999999999,249.99999999999997,99.8
1.4000000000000001,2.0,1.0,32.5,75.0,239.99999999999997,83.33333333333333,203.33333333333331,100.0
-1.4000000000000001,0.1,4.0,40.1,85.0,360.0,75.0,300.0,99.9
-1.4000000000000001,0.1,4.5,40.1,85.0,360.0,75.0,300.0,100.0
-1.4000000000000001,0.208,2.18,2.85,60.0,119.99999999999999,59.99999999999999,326.6666666666667,0.0
-1.4000000000000001,0.208,5.18,2.85,60.0,119.99999999999999,59.99999999999999,126.66666666666667,8.9
-1.4000000000000001,0.208,3.0,2.85,60.0,119.99999999999999,56.66666666666666,326.6666666666667,33.2
-1.4000000000000001,0.208,4.0,2.85,60.0,119.99999999999999,41.666666666666664,266.6666666666667,93.2
-1.4000000000000001,0.15,4.0,3.1499999999999995,70.0,150.0,49.99999999999999,249.99999999999997,95.6
-1.4000000000000001,0.12,4.5,3.1499999999999995,70.0,150.0,49.99999999999999,249.99999999999997,97.4
-1.4000000000000001,0.1,5.0,3.1499999999999995,70.0,150.0,49.99999999999999,249.99999999999997,98.7
-1.4000000000000001,0.075,5.5,3.1499999999999995,70.0,150.0,49.99999999999999,249.99999999999997,99.5
1.4000000000000001,0.5,1.0,32.5,75.0,239.99999999999997,83.33333333333333,203.33333333333331,100.0
-1.4000000000000001,0.5,1.5,32.5,75.0,239.99999999999997,66.66666666666667,216.66666666666666,100.0
-1.4000000000000001,0.5,2.0,32.5,75.0,239.99999999999997,49.99999999999999,200.0,100.0
-1.4000000000000001,0.5,2.5,32.5,75.0,239.99999999999997,49.99999999999999,216.66666666666666,100.0
-1.4000000000000001,0.25,3.0,32.5,80.0,300.0,49.99999999999999,249.99999999999997,99.5
-1.4000000000000001,0.25,3.5,32.5,80.0,300.0,49.99999999999999,249.99999999999997,99.8
-1.4000000000000001,0.1,4.0,35.7,85.0,360.0,59.99999999999999,300.0,99.9
-1.4000000000000001,0.1,4.5,35.7,85.0,360.0,59.99999999999999,300.0,100.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,50.199999999999996
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,80.5
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,83.0
-1.4000000000000001,0.5,1.0,96.0,25.0,1440.0,20.0,124.99999999999999,90.2
-1.4000000000000001,0.5,0.5,96.0,25.0,1440.0,20.0,124.99999999999999,78.9
-1.4000000000000001,0.5,0.5,96.0,25.0,1440.0,20.0,124.99999999999999,79.8
-1.4000000000000001,0.25,2.0,98.5,50.0,1440.0,30.0,200.0,92.5
-1.4000000000000001,0.25,2.5,98.5,50.0,1440.0,30.0,200.0,96.7
-1.4000000000000001,0.25,3.0,98.5,50.0,1440.0,30.0,200.0,98.4
-1.4000000000000001,0.5,1.0,83.0,30.0,5.0,49.99999999999999,100.0,0.4
-1.4000000000000001,0.5,1.0,83.0,30.0,119.99999999999999,49.99999999999999,100.0,39.0
-1.4000000000000001,0.5,2.0,83.0,30.0,119.99999999999999,49.99999999999999,300.0,55.50000000000001
-1.4000000000000001,0.5,3.0,83.0,30.0,119.99999999999999,49.99999999999999,499.99999999999994,99.9
-1.4000000000000001,0.5,3.0,83.0,60.0,119.99999999999999,49.99999999999999,499.99999999999994,100.0
-1.4000000000000001,0.25,2.5,85.2,50.0,119.99999999999999,59.99999999999999,249.99999999999997,89.3
-1.4000000000000001,0.25,3.0,85.2,50.0,119.99999999999999,59.99999999999999,249.99999999999997,97.5
-1.4000000000000001,0.25,3.5,85.2,50.0,119.99999999999999,59.99999999999999,249.99999999999997,98.8
-1.4000000000000001,0.10833333333333334,1.2,40.1,56.66666666666667,640.0,66.66666666666667,300.0,96.0
-1.4000000000000001,0.15166666666666667,0.7,52.7,66.66666666666667,640.0,56.66666666666666,396.66666666666663,95.8
-1.4000000000000001,0.15,2.0,38.5,50.0,119.99999999999999,49.99999999999999,249.99999999999997,90.5
-1.4000000000000001,0.15,2.5,38.5,50.0,119.99999999999999,49.99999999999999,249.99999999999997,95.2
-1.4000000000000001,0.1,3.0,38.5,50.0,119.99999999999999,49.99999999999999,249.99999999999997,98.3
-1.4000000000000001,0.6,1.0,6.199999999999999,20.0,479.99999999999994,20.0,200.0,90.0
-1.4000000000000001,0.6,1.0,6.199999999999999,40.0,239.99999999999997,20.0,200.0,95.0
-1.4000000000000001,0.6,1.0,6.199999999999999,60.0,180.0,20.0,200.0,98.0
-1.4000000000000001,0.6,1.0,6.199999999999999,60.0,239.99999999999997,20.0,200.0,0.0
-1.4000000000000001,0.5,2.0,7.5,30.0,300.0,24.999999999999996,249.99999999999997,92.3
-1.4000000000000001,0.5,2.5,7.5,30.0,300.0,24.999999999999996,249.99999999999997,95.8
-1.4000000000000001,0.25,3.0,7.5,30.0,300.0,24.999999999999996,249.99999999999997,98.1
-1.4000000000000001,0.25,3.5,7.5,30.0,300.0,24.999999999999996,249.99999999999997,99.5
1.4000000000000001,0.5,0.075,74.4,16.0,239.99999999999997,49.99999999999999,350.0,50.3
-1.4000000000000001,0.5,0.1,74.4,25.0,239.99999999999997,49.99999999999999,450.0,60.20000000000001
-1.4000000000000001,0.5,0.2,74.4,35.0,239.99999999999997,49.99999999999999,550.0,75.8
-1.4000000000000001,0.5,0.4,74.4,45.0,239.99999999999997,49.99999999999999,750.0,90.5
-1.4000000000000001,0.5,0.5,74.4,50.0,239.99999999999997,49.99999999999999,900.0,99.8
-1.4000000000000001,0.25,0.3,80.1,40.0,300.0,59.99999999999999,499.99999999999994,85.6
-1.4000000000000001,0.25,0.35,80.1,40.0,300.0,59.99999999999999,600.0,92.3
-1.4000000000000001,0.25,0.45,80.1,40.0,300.0,59.99999999999999,700.0,97.5
-0.3999999999999996,3.4,0.3,9.5,25.0,239.99999999999997,35.0,200.0,82.0
-0.3999999999999996,1.5000000000000002,0.3,9.5,25.0,150.0,26.666666666666664,200.0,93.0
-0.3999999999999996,3.4,0.1,9.5,25.0,239.99999999999997,38.333333333333336,200.0,30.0
-0.3999999999999996,3.4,0.3,9.5,25.0,119.99999999999999,30.000000000000004,200.0,67.0
-0.3999999999999996,3.4,0.3,9.5,50.0,239.99999999999997,35.0,200.0,85.0
-0.3999999999999996,2.0,0.4,10.2,30.0,180.0,40.0,300.0,88.5
-0.3999999999999996,2.0,0.5,10.2,30.0,180.0,40.0,300.0,94.2
-0.3999999999999996,2.0,0.6,10.2,30.0,180.0,40.0,300.0,98.0
-1.4000000000000001,0.045,0.1,18.34,25.0,59.99999999999999,40.0,249.99999999999997,50.0
-1.4000000000000001,0.045,0.12000000000000001,18.34,25.0,59.99999999999999,40.0,249.99999999999997,75.0
-1.4000000000000001,0.045,0.25,18.34,25.0,59.99999999999999,40.0,249.99999999999997,97.5
-1.4000000000000001,0.045,0.4,18.34,25.0,59.99999999999999,40.0,249.99999999999997,98.0
-1.4000000000000001,0.045,0.18,18.34,20.0,10.0,40.0,249.99999999999997,85.0
-1.4000000000000001,0.045,0.18,18.34,30.0,10.0,40.0,249.99999999999997,88.0
-1.4000000000000001,0.045,0.18,18.34,40.0,10.0,40.0,249.99999999999997,90.0
-1.4000000000000001,0.045,0.18,18.34,50.0,10.0,40.0,249.99999999999997,92.0
-1.4000000000000001,0.025,0.5,18.34,25.0,59.99999999999999,49.99999999999999,300.0,99.0
-1.4000000000000001,0.025,0.75,18.34,25.0,59.99999999999999,49.99999999999999,300.0,99.5
-1.4000000000000001,0.025,1.0,18.34,25.0,59.99999999999999,49.99999999999999,300.0,99.9
-3.13,0.045,2.0,1.38,35.0,540.0,99.99999999999999,120.00000000000001,94.0
-3.13,0.045,2.0,1.38,35.0,540.0,99.99999999999999,120.00000000000001,89.2
-1.2299999999999995,0.045,2.0,1.38,35.0,540.0,99.99999999999999,120.00000000000001,99.2
-3.0,0.045,2.0,1.38,35.0,540.0,150.0,120.00000000000001,99.0
-2.6333333333333333,0.09566666666666666,16.166666666666668,3.1899999999999995,25.0,59.99999999999999,28.33333333333333,300.0,93.76
-2.6333333333333333,0.1065,19.5,11.41,25.0,59.99999999999999,41.666666666666664,300.0,90.92
-3.0,0.5,2.0,20.0,50.0,59.99999999999999,66.66666666666667,150.0,93.56
-3.0,0.5,2.0,20.0,40.0,40.0,53.33333333333334,150.0,87.15
1.9900000000000004,0.5,1.0,20.0,50.0,59.99999999999999,54.99999999999999,150.0,95.03
1.9900000000000004,0.5,1.0,20.0,40.0,40.0,54.99999999999999,150.0,90.56
2.3399999999999994,0.5,1.0,20.0,50.0,59.99999999999999,54.99999999999999,150.0,91.11
2.3399999999999994,0.5,1.0,20.0,40.0,40.0,54.99999999999999,150.0,84.92
3.130000000000001,20.133333333333336,0.5,35.56333333333334,30.0,1440.0,33.33333333333333,740.0000000000001,83.5
3.130000000000001,20.133333333333336,1.0,34.00666666666667,30.0,1440.0,43.33333333333333,326.6666666666667,88.9
3.130000000000001,0.3333333333333333,1.5,15.33,30.0,1440.0,43.33333333333333,226.66666666666666,91.5
4.76,0.8666666666666665,0.5,13.832,30.0,1440.0,43.33333333333333,740.0000000000001,87.3
4.76,0.3333333333333333,0.075,15.33,30.0,1440.0,43.33333333333333,226.66666666666666,90.2
4.76,0.8666666666666665,0.1,13.832,30.0,1440.0,43.33333333333333,740.0000000000001,85.6
9.25,3.4,0.3,9.5,25.0,239.99999999999997,16.666666666666664,200.0,82.0
9.25,1.5000000000000002,0.3,9.5,25.0,150.0,20.666666666666668,200.0,93.0
9.25,3.4,0.1,9.5,25.0,239.99999999999997,40.0,200.0,30.0
9.25,3.4,0.3,9.5,40.0,239.99999999999997,16.666666666666664,200.0,85.0
9.25,3.4,0.3,9.5,55.0,239.99999999999997,26.666666666666664,200.0,87.0
-6.0,0.7499999999999999,1.5,44.64,80.0,119.99999999999999,83.33333333333333,600.0,97.15
-6.0,0.20833333333333337,3.0,48.66,70.0,59.99999999999999,83.33333333333333,600.0,91.07
12.000000000000002,0.3500000000000001,2.5,48.66,200.0,180.0,40.0,1100.0,86.63
12.000000000000002,0.20833333333333337,2.5,59.910000000000004,200.0,180.0,40.0,1100.0,93.8
9.600000000000003,2.0,0.5,5.42,25.0,1440.0,10.0,300.0,96.5
9.600000000000003,2.0,0.5,4.18,25.0,4320.0,2.0,300.0,99.5
9.600000000000003,2.0,0.5,5.42,40.0,119.99999999999999,20.666666666666668,300.0,98.6
9.600000000000003,2.0,0.5,5.42,50.0,10.0,20.666666666666668,300.0,99.1
-1.4000000000000001,1.0,6.0,16.49,25.0,59.99999999999999,36.66666666666667,193.33333333333334,55.79999999999999
-1.4000000000000001,1.0,6.0,29.01,25.0,59.99999999999999,53.33333333333333,260.0,89.9
-1.4000000000000001,1.0,6.0,21.13,25.0,59.99999999999999,20.0,1093.3333333333333,97.0
9.240000000000002,2.0,5.0,26.0,63.33333333333333,1440.0,29.999999999999996,499.99999999999994,92.5
-1.4000000000000001,0.25,2.0,14.700000000000001,50.0,210.0,10.0,150.0,78.0
-1.4000000000000001,0.25,1.0,14.700000000000001,25.0,210.0,10.0,150.0,21.4
-1.4000000000000001,0.25,3.0,14.700000000000001,25.0,210.0,10.0,150.0,46.0
5.163333333333334,1.0,4.366666666666666,30.0,29.0,73.33333333333333,26.666666666666664,300.0,71.5
1.4999999999999998,1.0,5.0,22.5,45.0,1260.0,99.99999999999999,190.0,96.8
-1.4000000000000001,0.5,2.0,38.1,90.0,180.0,40.0,900.0,87.0
-1.4000000000000001,0.5,2.0,35.1,90.0,180.0,40.0,900.0,92.0
-1.4000000000000001,1.2403333333333333,1.0,19.0,30.0,59.99999999999999,5.0,176.66666666666666,27.890000000000004
-1.4000000000000001,0.25833333333333336,2.0,19.0,40.0,119.99999999999999,10.0,606.6666666666666,91.16
