pKa,Particle size (mm),Acid concentration (M),Cu in feed (%),Temperature (Â°C),Leaching time (min),Pulp density (g/L),Agitation speed (rpm),% Cu Recovery
-1.4000000000000001,1.2,3.0,19.0,50.0,72.0,5.0,1440.0,97.65
-1.4000000000000001,1.2,4.0,19.0,60.0,90.0,5.0,1440.0,99.21
1.4999999999999998,0.5566666666666668,2.0,26.0,25.0,4179.999999999999,43.99999999999999,226.66666666666666,98.0
-1.9333333333333338,0.8441666666666666,0.37,29.533333333333335,40.0,14160.000000000002,17.333333333333336,30.000000000000004,99.0
-1.4000000000000001,0.3333333333333333,4.0,30.0,50.0,600.0,49.99999999999999,276.66666666666663,99.0
9.600000000000003,0.074,0.6,14.023333333333332,45.0,40.0,26.666666666666664,300.0,90.36
9.600000000000003,0.074,0.6,15.33,25.0,40.0,33.33333333333333,300.0,58.13
9.240000000000002,0.074,3.0,14.023333333333332,45.0,40.0,26.666666666666664,300.0,91.21
9.240000000000002,0.074,3.0,20.220000000000002,25.0,40.0,33.33333333333333,300.0,71.26
1.9900000000000004,0.074,0.9,9.976666666666667,45.0,40.0,54.99999999999999,300.0,92.87
1.9900000000000004,0.074,0.9,33.410000000000004,25.0,40.0,40.0,300.0,78.26
1.080000000000001,0.1,2.59,20.0,440.0,59.99999999999999,70.0,1126.6666666666667,84.2
2.1466666666666674,10.0,2.163333333333333,13.3,1150.0,20.0,20.0,656.6666666666666,92.0
1.9900000000000004,7.400000000000001,1.12,27.0,90.0,59.99999999999999,20.0,800.0,88.5
1.9900000000000004,11.1,1.12,27.0,90.0,59.99999999999999,20.0,800.0,82.9
1.9900000000000004,7.400000000000001,1.12,27.0,90.0,59.99999999999999,20.0,800.0,86.5
1.9900000000000004,7.400000000000001,1.12,27.0,90.0,59.99999999999999,20.0,800.0,87.8
0.5700000000000002,0.25,1.29,23.6,20.0,30240.0,20.0,969.9999999999999,96.6
0.5700000000000002,0.42,1.29,23.6,20.0,30240.0,12.0,969.9999999999999,98.19
1.9900000000000004,3.0000000000000004,2.0,30.57,30.0,180.0,60.00000000000001,200.0,76.12
1.9900000000000004,3.0000000000000004,2.0,31.769999999999996,30.0,180.0,11.666666666666666,200.0,18.29
1.9900000000000004,2.0,4.0,15.33,25.0,300.0,46.666666666666664,300.0,60.0
1.9900000000000004,2.0,2.0,31.990000000000002,25.0,300.0,40.0,300.0,75.0
0.29999999999999893,1.0,0.66,6.166,45.0,119.99999999999999,59.99999999999999,600.0,88.33333333333334
1.0766666666666678,0.5000000000000001,1.3333333333333333,40.88666666666667,30.0,479.99999999999994,99.99999999999999,180.0,94.26666666666668
-2.6333333333333333,0.1065,10.333333333333336,6.166,25.0,3.0,46.666666666666664,150.0,90.0
-1.4000000000000001,0.9,2.5,10.968666666666666,25.0,1.0,56.66666666666666,216.6666666666667,90.0
1.983333333333333,2.0,2.0,34.83,35.0,20.0,36.66666666666667,493.33333333333326,83.1
5.53,2.0,2.0,34.83,35.0,59.99999999999999,26.666666666666664,260.0,66.0
3.0833333333333344,2.0,2.0,34.83,35.0,180.0,36.66666666666667,260.0,81.3
-2.6333333333333333,2.0,2.0,34.83,35.0,239.99999999999997,60.00000000000001,323.33333333333337,46.0
1.983333333333332,2.0,2.5,34.83,35.0,20.0,36.66666666666667,193.33333333333334,88.79
2.1499999999999995,2.0,2.0,34.83,35.0,20.0,36.66666666666667,260.0,87.35
-2.6333333333333333,2.0,2.0,34.83,35.0,59.99999999999999,60.00000000000001,323.33333333333337,44.0
-2.6333333333333333,2.0,2.0,34.83,35.0,180.0,60.00000000000001,323.33333333333337,45.0
-2.6333333333333333,2.0,2.0,34.83,35.0,20.0,60.00000000000001,323.33333333333337,48.5
-0.9999999999999994,13.483333333333333,1.0,71.36,28.0,1440.0,56.66666666666666,150.0,85.0
-3.0,0.11883333333333333,15.0,71.36,28.0,1440.0,53.33333333333333,260.0,95.0
3.130000000000001,30.0,0.5,71.36,30.0,239.99999999999997,29.999999999999996,226.66666666666666,85.0
-1.9,0.8416666666666666,3.5,11.533333333333333,28.0,90.0,28.33333333333333,200.0,69.06666666666666
-3.0,0.5,3.58,18.6,20.0,186.0,75.0,706.6666666666666,100.0
-3.0,0.5,3.54,18.6,60.0,59.99999999999999,75.0,1043.3333333333333,96.3
-0.9999999999999994,0.26266666666666666,1.2,83.42,25.0,59.99999999999999,59.99999999999999,326.6666666666667,97.32
2.0,0.85,0.6916666666666667,75.93,30.0,10080.0,49.99999999999999,180.0,24.0
-3.0,0.1,11.243333333333334,20.4,50.0,119.99999999999999,75.0,249.99999999999997,99.77
-0.9999999999999994,1.2,4.0,20.0,23.0,119.99999999999999,68.33333333333334,1093.3333333333333,98.0
-1.4000000000000001,0.5,4.5,49.3,50.0,59.99999999999999,120.0,300.0,99.0
-3.0,0.104,2.5,97.02,30.98,180.0,49.99999999999999,378.0,99.47
-3.0,0.25,1.0,68.34,50.0,234.0,56.66666666666666,400.0,99.94
-3.0,0.15,1.5,20.09,22.0,119.99999999999999,51.66666666666668,590.0,85.0
-3.0,0.1065,5.0,15.33,22.0,180.0,40.0,210.0,60.32000000000001
-3.0,0.1065,5.0,15.716666666666665,22.0,180.0,26.666666666666664,210.0,55.21
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,23.333333333333332,1020.0,65.38
-3.0,0.1065,15.0,13.832,22.0,180.0,40.0,590.0,86.54
-3.0,0.1065,20.0,10.968666666666666,22.0,239.99999999999997,40.0,176.66666666666666,88.92
-3.0,0.1065,25.0,14.663333333333332,22.0,239.99999999999997,40.0,360.0,96.98
-3.0,0.1065,30.0,14.663333333333332,22.0,119.99999999999999,40.0,360.0,97.03
-3.0,0.1065,5.0,28.12,22.0,119.99999999999999,53.33333333333333,273.3333333333333,45.2
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,57.61999999999999
-3.0,0.1065,15.0,20.220000000000002,22.0,180.0,40.0,1020.0,74.35
-3.0,0.1065,20.0,14.023333333333332,22.0,180.0,40.0,226.66666666666666,92.01
-3.0,0.1065,25.0,9.976666666666667,22.0,119.99999999999999,40.0,260.0,93.36
-3.0,0.1065,30.0,14.663333333333332,22.0,180.0,40.0,673.3333333333333,96.58
-3.0,0.1065,5.0,28.12,22.0,119.99999999999999,53.33333333333333,273.3333333333333,44.02
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,60.03
-3.0,0.1065,15.0,21.776666666666667,22.0,180.0,40.0,1020.0,75.02
-3.0,0.1065,20.0,18.44333333333333,22.0,180.0,40.0,1020.0,80.02
-3.0,0.1065,25.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,90.62
-3.0,0.1065,30.0,18.44333333333333,22.0,180.0,40.0,1020.0,85.3
-3.0,0.1065,5.0,28.12,22.0,180.0,53.33333333333333,143.33333333333334,41.25
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,59.050000000000004
-3.0,0.1065,15.0,21.776666666666667,22.0,180.0,40.0,1020.0,75.26
-3.0,0.1065,20.0,18.44333333333333,22.0,119.99999999999999,40.0,1020.0,81.02
-3.0,0.1065,25.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,91.02
-3.0,0.1065,30.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,90.85
-3.0,0.1065,5.0,17.46,22.0,119.99999999999999,53.33333333333333,143.33333333333334,36.98
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,55.02
-3.0,0.1065,15.0,15.33,22.0,180.0,40.0,1020.0,67.59
-3.0,0.1065,20.0,18.44333333333333,22.0,180.0,40.0,1020.0,79.25
-3.0,0.1065,25.0,18.44333333333333,22.0,180.0,40.0,1020.0,85.02
-3.0,0.1065,30.0,13.832,22.0,180.0,40.0,590.0,86.25
-3.0,0.1065,5.0,15.716666666666665,22.0,119.99999999999999,26.666666666666664,210.0,56.65
-3.0,0.1065,10.0,20.220000000000002,22.0,119.99999999999999,40.0,1020.0,73.04
-3.0,0.1065,15.0,13.832,22.0,119.99999999999999,40.0,590.0,86.02
-3.0,0.1065,20.0,9.059999999999999,22.0,119.99999999999999,40.0,293.33333333333337,95.02
-3.0,0.1065,25.0,14.663333333333332,22.0,180.0,40.0,360.0,97.05
-3.0,0.1065,30.0,14.663333333333332,22.0,180.0,40.0,360.0,97.54
-3.0,0.1065,5.0,22.006666666666664,22.0,119.99999999999999,26.666666666666664,210.0,51.01
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,40.0,1020.0,67.85
-3.0,0.1065,15.0,18.44333333333333,22.0,119.99999999999999,40.0,1020.0,79.58
-3.0,0.1065,20.0,10.968666666666666,22.0,119.99999999999999,40.0,176.66666666666666,88.95
-3.0,0.1065,25.0,9.059999999999999,22.0,180.0,40.0,293.33333333333337,96.02
-3.0,0.1065,30.0,14.023333333333332,22.0,119.99999999999999,40.0,226.66666666666666,91.98
-3.0,0.1065,5.0,28.12,22.0,180.0,53.33333333333333,210.0,47.02
-3.0,0.1065,10.0,15.33,22.0,180.0,23.333333333333332,1020.0,66.02
-3.0,0.1065,15.0,18.44333333333333,22.0,180.0,40.0,1020.0,81.02
-3.0,0.1065,20.0,13.832,22.0,180.0,40.0,590.0,86.2
-3.0,0.1065,25.0,10.968666666666666,22.0,119.99999999999999,40.0,176.66666666666666,89.02
-3.0,0.1065,30.0,14.023333333333332,22.0,180.0,40.0,216.66666666666666,91.07
-0.956666666666667,0.4,18.5,15.33,44.0,580.0,33.333333333333336,266.6666666666667,83.72
3.786666666666667,0.4,1.0583333333333333,15.33,26.666666666666668,500.3333333333333,43.33333333333333,266.6666666666667,89.99
-3.0,0.5,8.333333333333334,15.33,22.0,139.99999999999997,46.666666666666664,283.3333333333333,60.43999999999999
-3.0,0.4,11.666666666666666,15.33,22.0,160.0,40.0,300.0,64.04
-0.956666666666667,0.3,17.166666666666668,15.33,24.0,2019.9999999999998,43.33333333333333,266.6666666666667,91.92
-3.0,0.5,8.333333333333334,15.33,22.0,139.99999999999997,46.666666666666664,283.3333333333333,59.93000000000001
-3.0,0.5,8.333333333333334,15.33,22.0,160.0,40.0,300.0,63.43
-3.0,0.4,11.666666666666666,15.33,22.0,160.0,33.333333333333336,283.3333333333333,67.35
5.163333333333334,0.4,9.333333333333334,15.33,29.0,73.33333333333333,26.666666666666664,283.3333333333333,71.38
-3.0,0.3,28.333333333333332,15.33,22.0,180.0,43.33333333333333,266.6666666666667,90.9
-0.9999999999999994,40.0,1.0,53.906666666666666,25.0,20.0,14.999999999999998,110.0,46.0
-0.9999999999999994,40.0,2.5,32.17533333333334,25.0,20.0,11.666666666666666,160.0,68.0
-0.9999999999999994,40.0,4.0,29.64533333333334,25.0,20.0,6.666666666666667,176.66666666666666,82.0
-0.9999999999999994,40.0,1.3,32.17533333333334,25.0,20.0,43.33333333333333,160.0,74.0
-0.9999999999999994,40.0,2.8,12.192,25.0,20.0,6.666666666666667,176.66666666666666,86.0
-0.9999999999999994,40.0,4.3,6.922000000000001,25.0,20.0,6.666666666666667,266.6666666666667,92.0
9.25,1.0,2.3333333333333335,26.72,40.0,59.99999999999999,20.0,300.0,72.3
9.25,1.0,2.1666666666666665,28.329999999999995,60.0,119.99999999999999,20.0,400.0,85.6
9.25,1.0,3.0,18.886666666666667,80.0,180.0,20.0,499.99999999999994,94.5
9.25,1.0,3.3333333333333335,20.44333333333333,100.0,239.99999999999997,20.0,600.0,98.7
9.25,1.0,2.3333333333333335,21.83,100.0,300.0,20.0,700.0,100.0
-1.9666666666666661,0.125,3.693333333333334,20.0,25.0,119.99999999999999,28.33333333333334,499.99999999999994,99.6
3.130000000000001,30.0,1.0,29.64533333333334,30.0,1440.0,16.666666666666664,176.66666666666666,84.04
3.130000000000001,30.0,1.5,29.64533333333334,30.0,1440.0,43.33333333333333,176.66666666666666,87.72
3.130000000000001,30.0,2.0,29.64533333333334,30.0,1440.0,11.666666666666666,176.66666666666666,81.06
3.130000000000001,30.0,2.5,49.62866666666667,30.0,1440.0,11.666666666666666,160.0,65.38
3.130000000000001,30.0,1.0,29.64533333333334,30.0,1440.0,16.666666666666664,176.66666666666666,83.72
3.130000000000001,30.0,1.5,29.64533333333334,30.0,1440.0,43.33333333333333,176.66666666666666,85.62
3.130000000000001,30.0,2.0,29.64533333333334,30.0,1440.0,11.666666666666666,176.66666666666666,78.54
3.130000000000001,30.0,2.5,49.62866666666667,30.0,1440.0,11.666666666666666,160.0,62.03999999999999
3.130000000000001,30.0,1.0,29.64533333333334,30.0,1440.0,16.666666666666664,176.66666666666666,80.16
3.130000000000001,30.0,1.5,29.64533333333334,30.0,1440.0,16.666666666666664,176.66666666666666,82.96
3.130000000000001,30.0,2.0,49.62866666666667,30.0,1440.0,11.666666666666666,160.0,67.84
3.130000000000001,30.0,2.5,53.906666666666666,30.0,1440.0,14.999999999999998,110.0,41.7
-3.0,0.1065,28.333333333333332,3.99,25.0,59.99999999999999,103.33333333333333,293.33333333333337,96.35
-3.0,0.1,2.4,42.36666666666667,150.0,90.0,91.66666666666666,1093.3333333333333,99.0
-3.0,0.8333333333333334,0.15,20.13333333333333,75.0,239.99999999999997,86.66666666666666,573.3333333333333,98.46
-1.9333333333333338,0.075,6.333333333333332,54.72,30.0,1440.0,49.99999999999999,623.3333333333334,95.0
-0.43333333333333346,0.08,1.29,15.33,28.0,5760.0,49.99999999999999,1440.0,91.8
0.5700000000000002,1.2,1.29,22.0,25.0,12000.0,24.0,969.9999999999999,99.0
-1.566666666666667,0.071,1.72,7.905333333333332,80.0,119.99999999999999,56.66666666666666,250.00000000000003,17.21
-2.466666666666667,0.085,2.5533333333333332,35.83533333333333,80.0,119.99999999999999,49.99999999999999,383.3333333333333,52.84000000000001
2.1499999999999995,0.175,3.3333333333333335,5.416666666666667,80.0,119.99999999999999,40.0,350.0,94.3
3.396666666666666,0.37500000000000006,1.22,13.832,80.0,119.99999999999999,40.0,813.3333333333333,82.43
-0.8033333333333333,0.5,1.1866666666666665,32.822,80.0,119.99999999999999,40.0,350.0,79.53
-0.9300000000000005,1.2,2.8333333333333335,20.0,41.666666666666664,33.33333333333333,51.66666666666668,1440.0,99.9
-1.433333333333333,1.2,4.5,20.0,25.0,71.66666666666666,33.333333333333336,1440.0,97.32
-1.4000000000000001,1.2,2.6666666666666665,20.0,50.0,505.6666666666667,10.0,1440.0,98.06
-0.3966666666666674,1.2,2.1666666666666665,20.0,25.0,4003.3333333333335,33.333333333333336,1440.0,99.3
1.630000000000001,1.2,0.7,20.0,50.0,961.6666666666667,53.33333333333334,1440.0,84.2
-1.9666666666666661,1.2,3.693333333333334,20.0,25.0,5.0,28.33333333333334,1440.0,99.9
-1.433333333333333,1.2,4.5,20.0,25.0,5.0,51.66666666666668,1440.0,97.32
-1.4000000000000001,1.2,4.333333333333333,20.0,50.0,5.0,28.33333333333334,1440.0,98.06
-1.9666666666666666,1.2,3.693333333333334,20.0,25.0,5.0,28.33333333333334,1440.0,99.3
-2.6333333333333333,1.2,10.0,20.0,50.0,5.0,53.33333333333334,1440.0,84.2
0.5700000000000002,2.0,0.8233333333333334,22.6,23.0,4320.0,20.0,100.0,96.5
1.6099999999999999,0.0565,1.5,87.1,75.0,3.0,29.999999999999996,400.0,99.9
1.6099999999999999,0.1125,1.0,84.1,25.0,20.0,29.999999999999996,200.0,92.4
1.6099999999999999,0.165,0.5,77.6,25.0,59.99999999999999,29.999999999999996,0.0,77.4
1.6099999999999999,0.4315,1.5,64.73333333333332,75.0,100.99999999999999,46.666666666666664,746.6666666666666,99.9
1.6800000000000008,0.15,0.5,84.1,25.0,59.99999999999999,20.0,0.0,77.4
0.29999999999999893,0.075,1.0,77.6,40.0,59.99999999999999,56.66666666666666,200.0,92.4
0.7366666666666676,0.038,1.5,87.1,50.0,59.99999999999999,56.66666666666666,400.0,98.0
1.1733333333333333,0.038,1.5,87.1,75.0,59.99999999999999,56.66666666666666,400.0,99.9
0.29999999999999993,0.1125,1.0,86.1,25.0,59.99999999999999,49.99999999999999,200.0,77.4
0.29999999999999993,0.1125,1.0,83.93333333333334,40.0,59.99999999999999,49.99999999999999,200.0,92.4
0.29999999999999993,0.1125,1.0,87.1,50.0,59.99999999999999,49.99999999999999,200.0,95.2
0.29999999999999993,0.1125,1.0,87.1,75.0,59.99999999999999,66.66666666666666,266.6666666666667,99.9
0.29999999999999993,0.1125,0.5,68.25666666666667,25.0,59.99999999999999,30.000000000000004,200.0,77.4
0.29999999999999993,0.1125,1.0,63.17666666666666,25.0,59.99999999999999,63.33333333333334,200.0,92.4
0.29999999999999993,0.1125,1.5,87.1,25.0,59.99999999999999,54.99999999999999,200.0,97.3
-0.6333333333333337,0.17633333333333334,2.8633333333333337,12.183333333333334,25.0,59.99999999999999,41.666666666666664,0.0,18.7
-2.6333333333333333,0.4043333333333334,10.333333333333336,19.89,25.0,59.99999999999999,23.333333333333332,200.0,90.5
-0.46666666666666634,0.7021666666666667,3.1666666666666665,44.90666666666667,25.0,59.99999999999999,99.99999999999999,400.0,98.0
0.29999999999999993,0.1125,1.0,87.1,25.0,59.99999999999999,20.0,200.0,77.4
0.29999999999999993,0.1125,1.0,87.1,40.0,59.99999999999999,29.999999999999996,200.0,92.4
0.29999999999999993,0.1125,1.0,87.1,50.0,59.99999999999999,29.999999999999996,200.0,95.2
0.29999999999999993,0.1125,1.0,87.1,75.0,59.99999999999999,29.999999999999996,200.0,99.9
2.0,0.108,1.6333333333333333,1.5699999999999998,25.0,5.0,43.33333333333333,300.0,98.0
2.0,0.41666666666666674,1.5533333333333332,1.5699999999999998,25.0,5.0,43.33333333333333,600.0,98.0
-0.30344720496894495,2.491525222551929,4.094110429447852,36.05886692015209,46.72796703296703,606.3305555555555,50.083333333333336,350.78873239436615,84.18954907161803
0.29999999999999993,0.075,0.5,87.1,25.0,59.99999999999999,20.0,200.0,77.4
0.29999999999999993,0.075,1.0,87.1,40.0,59.99999999999999,29.999999999999996,200.0,92.4
0.29999999999999993,0.075,1.5,87.1,50.0,59.99999999999999,29.999999999999996,200.0,95.2
0.29999999999999993,0.075,1.5,87.1,75.0,59.99999999999999,29.999999999999996,200.0,99.9
11.080000000000002,9.5,3.3333333333333335,31.553333333333335,500.0,10.0,20.0,900.0,87.77666666666667
2.0,0.3,1.7,20.46,25.0,59.99999999999999,15.0,200.0,98.0
2.0,0.3,1.7,21.3,80.0,180.0,54.99999999999999,1009.9999999999999,98.0
2.0,0.037,1.0,85.4,30.0,1440.0,20.0,200.0,99.5
2.0,0.065,1.0,86.1,30.0,1440.0,20.0,200.0,98.7
2.0,0.093,1.0,88.3,30.0,1440.0,20.0,200.0,97.2
2.0,0.121,1.0,87.8,30.0,1440.0,20.0,200.0,96.9
